Exit Time,Action,Ticker,Amount,Entry Price ($),Exit Price ($),Profit ($),Confidence (%)
2026-03-26 13:46:20.747891,BUY,XAU-USD,3.685000,4436.14,,0.00,2.7%
2026-03-26 13:47:20.993397,BUY,XAU-USD,3.865200,4439.62,,0.00,3.6%
2026-03-26 13:48:21.229053,BUY,XAU-USD,3.718800,4437.93,,0.00,0.2%
2026-03-26 13:49:21.466819,BUY,XAU-USD,3.844700,4440.45,,0.00,0.7%
2026-03-26 13:50:21.697787,BUY,XAU-USD,3.893900,4441.80,,0.00,85.0%
2026-03-26 13:51:21.952057,BUY,XAU-USD,4.077200,4445.20,,0.00,6.7%
2026-03-26 13:52:22.206251,BUY,XAU-USD,4.033000,4445.03,,0.00,9.8%
2026-03-26 13:53:39.716800,BUY,AUDJPY,147.496300,110.63,,0.00,53.3%
2026-03-26 13:54:39.953258,BUY,AUDJPY,125.952800,110.61,,0.00,69.1%
2026-03-26 13:55:40.193289,BUY,AUDJPY,118.623000,110.58,,0.00,12.1%
2026-03-26 13:56:40.421904,BUY,AUDJPY,142.526500,110.61,,0.00,0.5%
2026-03-26 13:57:40.674297,BUY,AUDJPY,138.022700,110.60,,0.00,4.3%
2026-03-26 13:58:40.904763,BUY,AUDJPY,122.536100,110.58,,0.00,6.4%
2026-03-26 13:59:41.121198,BUY,AUDJPY,104.373400,110.60,,0.00,40.7%
2026-03-26 14:02:48.622753,BUY,AUDJPY,123.737400,110.60,,0.00,13.2%
2026-03-26 14:03:48.870568,BUY,AUDJPY,116.029300,110.60,,0.00,24.5%
2026-03-26 14:04:49.118623,BUY,AUDJPY,140.738100,110.64,,0.00,48.5%
2026-03-26 14:05:49.355298,BUY,AUDJPY,110.094900,110.63,,0.00,45.1%
2026-03-26 14:40:10.112277,BUY,AUDJPY,101.594300,110.62,,0.00,59.0%
2026-03-26 20:59:23.920674,BUY,AUDJPY,232.396000,110.68,,0.00,10.8%
2026-03-26 20:59:39.061062,SELL (Square Off - SL),BTC-USD,1.399400,71451.99,68969.65,-3473.79,100.0%
2026-03-26 20:59:39.066594,BUY,BTC-USD,1.329600,68969.65,,0.00,8.8%
2026-03-26 21:00:24.979002,BUY,AUDJPY,208.368200,110.34,,0.00,27.4%
2026-03-26 21:00:40.537270,BUY,BTC-USD,0.066500,68968.33,,0.00,21.2%
2026-03-26 21:01:25.363086,BUY,AUDJPY,190.323500,110.35,,0.00,55.3%
2026-03-26 21:01:41.190720,BUY,BTC-USD,0.003300,68999.59,,0.00,58.5%
2026-03-26 21:02:27.278152,BUY,AUDCAD,18727.423000,0.96,,0.00,55.8%
2026-03-26 21:03:27.527031,BUY,AUDCAD,17735.672300,0.96,,0.00,1.0%
2026-03-26 21:04:27.847322,BUY,AUDCAD,17735.202600,0.96,,0.00,17.7%
2026-03-26 21:05:28.198060,BUY,AUDCAD,19059.139300,0.96,,0.00,1.6%
2026-03-26 21:06:29.074840,BUY,AUDCAD,17979.549500,0.96,,0.00,12.9%
2026-03-26 21:07:29.387216,BUY,AUDCAD,16861.842300,0.96,,0.00,56.5%
2026-03-26 21:08:29.819134,BUY,AUDCAD,17554.616300,0.96,,0.00,1.8%
2026-03-26 21:09:30.139829,BUY,AUDCAD,14060.842100,0.96,,0.00,21.2%
2026-03-26 21:10:30.538978,BUY,AUDCAD,14160.745700,0.96,,0.00,11.0%
2026-03-26 21:11:30.890418,BUY,AUDCAD,16241.836200,0.96,,0.00,36.1%
2026-03-26 21:12:31.199541,BUY,AUDCAD,13565.653200,0.96,,0.00,48.2%
2026-03-26 21:13:31.533313,BUY,AUDCAD,13734.340200,0.96,,0.00,69.0%
2026-03-26 21:14:31.791619,BUY,AUDCAD,14990.753400,0.96,,0.00,18.9%
2026-03-26 21:15:32.463886,BUY,AUDCAD,14133.621400,0.96,,0.00,38.4%
2026-03-26 21:16:32.732683,BUY,AUDCAD,15760.442400,0.96,,0.00,32.9%
2026-03-26 21:35:03.630635,BUY,AUDCAD,11893.126100,0.96,,0.00,26.0%
2026-03-26 21:36:04.087085,BUY,AUDCAD,11378.412900,0.96,,0.00,0.3%
2026-03-26 21:37:04.421718,BUY,AUDCAD,14210.844000,0.96,,0.00,9.1%
2026-03-26 21:38:04.809161,BUY,AUDCAD,13421.546400,0.96,,0.00,12.9%
2026-03-26 22:17:13.694082,SELL (Square Off),AUDCAD,7105.507400,0.96,0.96,-0.54,20.5%
2026-03-26 22:18:27.632135,SELL (Square Off),AUDCAD,7430.455500,0.96,0.96,-12.01,4.7%
2026-03-26 22:19:28.715002,SELL (Square Off),AUDCAD,7252.227200,0.96,0.96,-12.52,20.8%
2026-03-26 22:20:44.264449,SELL (Square Off),AUDCAD,7844.128800,0.96,0.96,-12.84,8.6%
2026-03-26 22:21:54.320599,SELL (Square Off),AUDCAD,7689.521200,0.96,0.96,-13.89,7.5%
2026-03-26 22:23:01.108287,SELL (Square Off),AUDCAD,6891.323500,0.96,0.96,-12.10,32.2%
2026-03-26 22:24:06.930106,SELL (Square Off),AUDCAD,6829.249100,0.96,0.96,-11.38,4.7%
2026-03-26 22:25:07.280008,SELL (Square Off),AUDCAD,6175.499600,0.96,0.96,-10.17,13.0%
2026-03-26 22:26:07.588433,SELL (Square Off),AUDCAD,6530.939200,0.96,0.96,-12.25,40.7%
2026-03-26 22:27:33.167326,SELL (Square Off),AUDCAD,6306.778200,0.96,0.96,-11.71,32.9%
2026-03-26 22:28:33.561654,SELL (Square Off),AUDCAD,6435.897200,0.96,0.95,-13.04,20.8%
2026-03-26 22:29:33.873093,SELL (Square Off),AUDCAD,6584.257500,0.96,0.95,-13.87,10.2%
2026-03-26 22:30:34.152473,SELL (Square Off),AUDCAD,5971.308900,0.96,0.95,-11.80,1.7%
2026-03-26 22:31:34.449802,SELL (Square Off),AUDCAD,5635.354600,0.96,0.96,-11.08,12.7%
2026-03-26 22:32:34.833095,SELL (Square Off),AUDCAD,5589.505200,0.96,0.96,-10.26,55.7%
2026-03-26 22:33:35.127546,SELL (Square Off),AUDCAD,5359.416200,0.96,0.96,-9.73,42.8%
2026-03-26 22:34:35.422994,SELL (Square Off),AUDCAD,5409.451600,0.96,0.96,-9.72,11.2%
2026-03-26 22:35:35.707216,SELL (Square Off),AUDCAD,5157.587800,0.96,0.96,-9.42,16.3%
2026-03-26 22:36:36.122583,SELL (Square Off),AUDCAD,3753.773400,0.96,0.96,-5.99,16.3%
2026-03-26 22:37:36.448946,SELL (Square Off),AUDCAD,3878.277500,0.96,0.96,-6.23,14.8%
2026-03-26 22:38:36.745207,SELL (Square Off),AUDCAD,4279.398800,0.96,0.96,-6.40,8.2%
2026-03-26 22:39:37.088032,SELL (Square Off),AUDCAD,4251.132900,0.96,0.96,-6.06,26.6%
2026-03-26 22:40:37.404053,SELL (Square Off),AUDCAD,4391.441300,0.96,0.96,-6.40,28.4%
2026-03-26 22:41:37.738548,SELL (Square Off),AUDCAD,5539.986400,0.96,0.96,-8.46,11.8%
2026-03-26 22:42:38.051748,SELL (Square Off),AUDCAD,5335.402100,0.96,0.96,-7.98,29.7%
2026-03-30 11:08:52.866338,BUY,XAU-USD,1.602700,4507.89,,0.00,4.5%
2026-03-30 11:09:50.743474,BUY,XAU-USD,1.583700,4507.06,,0.00,54.8%
2026-03-30 11:10:51.016911,BUY,XAU-USD,1.564200,4506.24,,0.00,3.0%
